Utterance,Speaker,Emotion,Strategy
to take care of her.,Client,disgust,undefined
The beginning of a very difficult period.,Therapist,neutral,Approval
And your father bears a great deal of the responsibility.,Therapist,neutral,Approval
"Yeah, who else?",Client,depression,undefined
My mother... she was... she was ill.,Client,depression,undefined
I understand.,Therapist,neutral,Approval
You mentioned more than once,Therapist,neutral,Restatement
"how strongly you identify with Sunil's alienation in this country,",Therapist,neutral,Restatement
that you continue to feel it at times.,Therapist,neutral,Restatement
And I imagine you felt it when you first arrived.,Therapist,neutral,Interpretation
"Yes, I...",Client,depression,undefined
I went from Lancaster royal grammar,Client,depression,undefined
"to p.S. 233,",Client,depression,undefined
from beautiful gothic stone buildings,Client,depression,undefined
and open green fields,Client,depression,undefined
to brick and asphalt.,Client,depression,undefined
That's tough for rugby.,Therapist,neutral,Approval
The kids played stickball.,Client,depression,undefined
And I remember watching them,Client,depression,undefined
with such determination,Client,depression,undefined
from the edge of the schoolyard.,Client,depression,undefined
Determination? What does that mean?,Therapist,neutral,Restatement
I was...,Client,neutral,undefined
"I was determined to decode them,",Client,neutral,undefined
"you know, to figure them out...",Client,disgust,undefined
"how to play their game, how to fit in.",Client,disgust,undefined
Because everything about them was alien...,Client,disgust,undefined
"the music that they listened to,",Client,disgust,undefined
"the clothes that they wore, even their curse words.",Client,disgust,undefined
And the girls... the girls...,Client,depression,undefined
forget it.,Client,depression,undefined
They wouldn't even look in my direction.,Client,depression,undefined
"You stayed on the edge of that schoolyard as well,",Therapist,neutral,Restatement
outside the gates.,Therapist,neutral,Restatement
I was trying to join in. I was trying to find my way.,Client,disgust,undefined
And I just... I just didn't get a chance to.,Client,disgust,undefined
You were pulled away again.,Therapist,neutral,Restatement
"Mm-hmm, yeah.",Client,depression,undefined
How long was your family in America,Therapist,neutral,Open question
before your father walked out?,Therapist,neutral,Open question
18 months.,Client,depression,undefined
A year and a half.,Therapist,neutral,Restatement
"Oh okay, I get the point you're trying to make...",Client,joy,undefined
"that I had time, like at boarding school,",Client,depression,undefined
to join in.,Client,depression,undefined
"But see, the thing is, my father was...",Client,depression,undefined
he was working really long hours.,Client,depression,undefined
And my mother was already unwell.,Client,depression,undefined
You were expected to stay home with her.,Therapist,neutral,Interpretation
"Yes, I was. And I did.",Client,depression,undefined
Yeah.,Client,depression,undefined
It was a terrible blow.,Client,depression,undefined
Was it?,Therapist,neutral,Restatement
What do you mean?,Client,depression,undefined
Was it a terrible blow or was it also a relief?,Therapist,neutral,Restatement
I was trying to be a good son.,Client,neutral,undefined
I understand it.,Therapist,neutral,Approval
Is that so awful?,Client,neutral,undefined
Of course it's not awful.,Therapist,neutral,Approval
What I'm saying is that it may have been easier than the alternative.,Therapist,neutral,Interpretation
Do you think I wanted to spend my teenage years,Client,depression,undefined
with my chronically ill mother?,Client,depression,undefined
I mean...,Therapist,neutral,Interpretation
"The first day I met you, you insisted",Therapist,neutral,Interpretation
"that you and Gina had it all figured out,",Therapist,neutral,Interpretation
that your need to save people,Therapist,neutral,Interpretation
started with your mother's illness.,Therapist,neutral,Interpretation
And does that seem far-fetched to you?,Client,depression,undefined
It doesn't.,Therapist,neutral,Interpretation
But I think caring for your mother,Therapist,neutral,Interpretation
was also a way of saving yourself.,Therapist,neutral,Interpretation
"It was miserable, yes,",Therapist,neutral,Approval
but it was also safe,Therapist,neutral,Approval
and familiar.,Therapist,neutral,Approval
And it kept you from having to find,Therapist,neutral,Interpretation
"any real connections elsewhere,",Therapist,neutral,Interpretation
from risking yourself in the outside world.,Therapist,neutral,Interpretation
And it also had the convenience,Therapist,neutral,Interpretation
of allowing you to blame it all on your father.,Therapist,neutral,Interpretation
And it's really not so different,Therapist,neutral,Open question
"from what you do to this day, is it?",Therapist,neutral,Open question
You cloister yourself in your apartment,Therapist,neutral,Interpretation
or your burrow like office.,Therapist,neutral,Interpretation
You convince yourself you're sick.,Therapist,neutral,Interpretation
You accept a growing paralysis,Therapist,neutral,Interpretation
rather than taking a risk of finding,Therapist,neutral,Interpretation
where or towards whom your real passion lies.,Therapist,neutral,Interpretation
Is it any wonder,Therapist,neutral,Open question
you haven't found what drives you yet?,Therapist,neutral,Open question
You're 57 years old.,Therapist,neutral,Advisement
At a certain point you have to move past,Therapist,neutral,Advisement
"the stories that you've assigned to your life,",Therapist,neutral,Advisement
these steadfast explanations,Therapist,neutral,Advisement
you've settled on years ago.,Therapist,neutral,Advisement
You have to look at yourself again,Therapist,neutral,Advisement
for real answers.,Therapist,neutral,Advisement
You have to take that risk.,Therapist,neutral,Advisement
Well...,Client,neutral,undefined
You're so young,Client,neutral,undefined
and yet you're so confident.,Client,neutral,undefined
About what?,Therapist,neutral,Open question
You just seem so certain that you're right.,Client,neutral,undefined
You see everything clearly.,Client,neutral,undefined
Do you think I see you clearly?,Therapist,neutral,Open question
"Because I'd like to see you more clearly,",Therapist,neutral,Interpretation
but I find you're fairly expert,Therapist,neutral,Interpretation
at obscuring the view.,Therapist,neutral,Interpretation
"That's not the first time you've heard that, is it?",Therapist,neutral,Open question
In so many words.,Client,neutral,undefined
I... I told you earlier,Client,depression,undefined
that I was distracted,Client,depression,undefined
when I was with Wendy.,Client,depression,undefined
And you asked me what I was thinking about.,Client,depression,undefined
And I said I didn't know.,Client,depression,undefined
"You asked me if I hold myself back,",Client,depression,undefined
and I didn't answer.,Client,depression,undefined
"Well, I do hold myself back.",Client,depression,undefined
Do you know why?,Client,depression,undefined
I was thinking about you.,Client,depression,undefined
I hear your voice,Client,depression,undefined
a lot.,Client,depression,undefined
"I admire your clarity, your...",Client,depression,undefined
you see me.,Client,depression,undefined
I noticed that you don't wear a wedding ring.,Client,depression,undefined
And I've imagined,Client,depression,undefined
"that you might understand something of my life,",Client,depression,undefined
my loneliness.,Client,depression,undefined
"I know, I know...",Client,neutral,undefined
textbook transference.,Client,joy,undefined
"I know it's ridiculous, a fantasy.",Client,neutral,undefined
And it's my comeuppance,Client,neutral,undefined
for being on the receiving end of these sorts of feelings.,Client,neutral,undefined
But you did ask.,Client,neutral,undefined
I'm glad you answered.,Therapist,neutral,Approval
You look...,Client,neutral,undefined
you look kind of shocked.,Client,neutral,undefined
Why do you say that?,Therapist,neutral,Open question
Nothing.,Client,neutral,undefined
Do you recognize what you're doing?,Therapist,neutral,Open question
You're holding yourself back again.,Therapist,neutral,Interpretation
"As soon as you express your feelings,",Therapist,neutral,Interpretation
"you dismiss them immediately,",Therapist,neutral,Interpretation
"call it ridiculous, offer an excuse.",Therapist,neutral,Interpretation
What...,Client,depression,undefined
what exactly are you saying?,Client,depression,undefined
I'm saying that between now and next session,Therapist,neutral,Advisement
you may want to think about why you do that.,Therapist,neutral,Advisement
Are you telling me...?,Client,depression,undefined
Are you trying to say...?,Client,depression,undefined
We have to stop.,Therapist,neutral,Structuring the therapy
Let's pick this up next week.,Therapist,neutral,Structuring the therapy
This will be an excellent place to start.,Therapist,neutral,Structuring the therapy
Okay.,Client,neutral,undefined
We'll talk more next week.,Therapist,neutral,Structuring the therapy
Have a good weekend.,Therapist,neutral,Communication Skills
"You know, I have to admit",Therapist,neutral,Self-disclosure
I was a little bit worried the last time,Therapist,neutral,Self-disclosure
at the end of our session.,Therapist,neutral,Self-disclosure
"Things are no better, Paul.",Client,neutral,undefined
In fact they are worse.,Client,neutral,undefined
Why? Has something... has something happened?,Therapist,neutral,Open question
Monsoons have flooded the region,Client,depression,undefined
where my parents were raised...,Client,depression,undefined
Entire village underwater.,Client,depression,undefined
"Well, I... I had no idea.",Therapist,neutral,Self-disclosure
I'm so sorry to hear that.,Therapist,neutral,Self-disclosure
How would you have any idea?,Client,depression,undefined
Because floods have scarcely made the news here.,Client,depression,undefined
Everything is about the New York Knicks.,Client,depression,undefined
Who is this player...,Client,neutral,undefined
Amare Stoudemire?,Client,neutral,undefined
I'm searching to hear of the disaster in India,Client,neutral,undefined
and all they want to talk about,Client,neutral,undefined
"is this basketball player,",Client,neutral,undefined
as if he's a superhero,Client,neutral,undefined
and he's going to save the world now.,Client,neutral,undefined
Now I'm all the time searching for news on the b.B.C. Channel,Client,neutral,undefined
or on this radio with this terrible reception.,Client,neutral,undefined
And...,Client,neutral,undefined
These pictures... they stay in my mind.,Client,depression,undefined
And... and I'm having difficulty to sleep.,Client,depression,undefined
"So when you do manage to sleep,",Therapist,neutral,Restatement
are you having any more of these disturbing dreams?,Therapist,neutral,Restatement
I keep seeing the same image...,Client,neutral,undefined
"You know, a boy, perhaps three or four.",Client,neutral,undefined
"You know, a boy, perhaps three or four.",Client,neutral,undefined
"He's clinging to an automobile tire,",Client,fear,undefined
and his head barely above water,Client,fear,undefined
"and his eyes, you know... they are pleading.",Client,fear,undefined
This is in the dream?,Therapist,neutral,Open question
"No no, this is real. It was on the news... B.B.C. News.",Client,neutral,undefined
I wanted to pass through the television,Client,neutral,undefined
and rescue that poor child.,Client,neutral,undefined
People are traveling from other areas to help.,Client,neutral,undefined
"And I'm trapped in Brooklyn,",Client,depression,undefined
"useless, locked away like a prisoner.",Client,depression,undefined
So is that what you feel like...,Therapist,neutral,Restatement
like a prisoner in your son's home?,Therapist,neutral,Restatement
My son is gone.,Client,depression,undefined
"He's been gone for three days,",Client,depression,undefined
attending a medical conference in St. Louis.,Client,depression,undefined
Before he left we watched the early reports together.,Client,neutral,undefined
"He pointed to the television and said,",Client,neutral,undefined
"oh baba, I'm glad that you are not there.",Client,neutral,undefined
Hmm.,Client,neutral,undefined
I feel like,Client,neutral,undefined
I'm outside of my life.,Client,neutral,undefined
I feel like a... like a stranger.,Client,neutral,undefined
"A prisoner, a stranger.",Therapist,neutral,Restatement
I cannot stop myself from watching.,Client,neutral,undefined
I cannot change how I feel.,Client,neutral,undefined
I just wonder if there aren't other things,Therapist,neutral,Self-disclosure
that you might be able to change.,Therapist,neutral,Self-disclosure
"Other things, meaning what?",Client,neutral,undefined
"Look, Sunil,",Therapist,neutral,Interpretation
things can't go on as they are.,Therapist,neutral,Interpretation
What about the possibility,Therapist,neutral,Open question
of your moving from your son's home?,Therapist,neutral,Open question
I know you can't go back to Calcutta... you told me that...,Therapist,neutral,Restatement
but finding someplace else to live.,Therapist,neutral,Open question
And where...,Client,neutral,undefined
"Where, please tell me, would that be?",Client,neutral,undefined
Your own apartment?,Therapist,neutral,Restatement
Okay.,Client,neutral,undefined
And... and who would pay... pay for this?,Client,neutral,undefined
You could get a job.,Therapist,neutral,Advisement
Like selling printer cartridges at best buy,Client,neutral,undefined
or standing behind a kebab wagon?,Client,neutral,undefined
"I cannot do that, Paul. I will not.",Client,neutral,undefined
I'm not suggesting that you...,Therapist,neutral,Interpretation
"But you're just wasting your time, Paul.",Client,neutral,undefined
"See, I'm as helpless to change my surroundings",Client,neutral,undefined
as those people in my country,Client,neutral,undefined
who are unable to save their houses from floodwaters.,Client,neutral,undefined
"I know you are a hopeful man, my friend.",Client,neutral,undefined
You like to think that you can...,Client,neutral,undefined
You can fix everything.,Client,neutral,undefined
I think that you have to talk with your son.,Therapist,neutral,Advisement
"No, just... just hear me out on this.",Therapist,neutral,Advisement
You're not happy where you are.,Therapist,neutral,Advisement
And it's pretty obvious that having you in their home,Therapist,neutral,Advisement
hasn't been easy for them either.,Therapist,neutral,Advisement
Yet you've never spoken to your son about this.,Therapist,neutral,Advisement
You've never expressed to him directly,Therapist,neutral,Advisement
what you feel or what it is exactly that you want.,Therapist,neutral,Advisement
( Speaks bengali ),Client,disgust,undefined
I didn't understand that.,Therapist,neutral,Self-disclosure
( Speaks bengali ),Client,disgust,undefined
( Sighs ),Client,disgust,undefined
I said,Client,disgust,undefined
that you are wasting my time too.,Client,disgust,undefined
"I know, I know it can be difficult",Therapist,neutral,Approval
"to talk to family,",Therapist,neutral,Approval
"your children, in a completely honest way",Therapist,neutral,Approval
because you risk a painful conversation.,Therapist,neutral,Interpretation
"This is just a strategy, yes...",Client,neutral,undefined
to tell me you know how I feel?,Client,neutral,undefined
"No no, it's not a strategy.",Therapist,neutral,Interpretation
"Look, Sunil, I have kids myself.",Therapist,neutral,Self-disclosure
I know what this is like...,Therapist,neutral,Self-disclosure
to sometimes want to put off,Therapist,neutral,Self-disclosure
difficult discussions.,Therapist,neutral,Self-disclosure
"But you don't know my son, Paul.",Client,neutral,undefined
You have no idea.,Client,neutral,undefined
I'm telling you with certainty,Client,disgust,undefined
there's nothing to be gained...,Client,disgust,undefined
absolutely nothing.,Client,disgust,undefined
You're so convinced that he's not gonna help you.,Therapist,neutral,Restatement
How can you know that for sure?,Therapist,neutral,Open question
Because I've already spoken to him,Client,disgust,undefined
the night before he left.,Client,disgust,undefined
"I was thinking of you, Paul...",Client,depression,undefined
How you encourage me to express myself.,Client,depression,undefined
So I told him the truth.,Client,depression,undefined
I told him that seeing the images made me certain,Client,depression,undefined
and I need to return.,Client,depression,undefined
"Here I'm useless. I'm only in the way here, to let me go.",Client,depression,undefined
And what did he say to that?,Therapist,neutral,Open question
"He told me that he would never let me go back to Calcutta,",Client,depression,undefined
"he had made a promise,",Client,depression,undefined
and he could never betray his mother.,Client,depression,undefined
He also told me that...,Client,depression,undefined
why do you want to make a fool of yourself?,Client,disgust,undefined
"What will you do back in India,",Client,disgust,undefined
"in all that water, jobless?",Client,disgust,undefined
"Then he said, Julia will send a check",Client,disgust,undefined
"to the red cross in your name,",Client,disgust,undefined
and that they would buy me,Client,depression,undefined
a queen-sized mattress,Client,depression,undefined
from Macy's departmental store.,Client,depression,undefined
Later that night I overheard them,Client,depression,undefined
talking in the kitchen.,Client,depression,undefined
"Julia was saying, oh, if he wants to go, let him go.",Client,depression,undefined
And she said,Client,depression,undefined
she was not comfortable,Client,depression,undefined
staying with me alone in the house.,Client,depression,undefined
And what did Arun say to that?,Therapist,neutral,Open question
He told Julia that she was being dramatic and ridiculous,Client,depression,undefined
and that he felt better having a man there,Client,depression,undefined
to protect her and the children while he was away.,Client,depression,undefined
Then Julia called me,Client,depression,undefined
"unstable,",Client,depression,undefined
this word unstable...,Client,disgust,undefined
like an old fruit wagon with loose wheels.,Client,disgust,undefined
To be called this word...,Client,disgust,undefined
I held a position,Client,depression,undefined
of mathematics professor for 28 years.,Client,depression,undefined
I was married to Kamala for 30 years.,Client,depression,undefined
Is this a profile of someone,Client,depression,undefined
who is unstable?,Client,depression,undefined
"If anything, she is unstable... Julia.",Client,disgust,undefined
She has been behaving like a madperson...,Client,disgust,undefined
madperson since Arun went away.,Client,disgust,undefined
"How do you mean, she's behaving like a madperson? What is she doing?",Therapist,neutral,Open question
She's continuing her adventures,Client,disgust,undefined
with Mr. Ethan Barr... the pale fox.,Client,disgust,undefined
"On Saturday night they went out,",Client,disgust,undefined
leaving Naya with an upset stomach.,Client,disgust,undefined
And you were watching the children?,Therapist,neutral,Open question
"No no, I'm not allowed.",Client,disgust,undefined
She would not allow that.,Client,disgust,undefined
Liza the nanny...,Client,neutral,undefined
She stayed late.,Client,neutral,undefined
Uh-huh.,Therapist,neutral,Communication Skills
He actually came up to the door to pick her up.,Client,disgust,undefined
So you met him?,Therapist,neutral,Restatement
"Yeah, he is not quite as handsome",Client,disgust,undefined
as he appears on the jacket cover.,Client,disgust,undefined
And did you speak to him? Did he...?,Therapist,neutral,Open question
We shook hands.,Client,neutral,undefined
"He's young,",Client,neutral,undefined
more modest than I thought.,Client,neutral,undefined
I congratulated him on his success.,Client,neutral,undefined
Then he said something which surprised me.,Client,neutral,undefined
He said that... I have heard,Client,neutral,undefined
quite a lot about you.,Client,neutral,undefined
When they walked down the stairs,Client,depression,undefined
they looked back at me and they laughed.,Client,depression,undefined
You thought they were laughing at you?,Therapist,neutral,Open question
"Please, Paul, you must trust me.",Client,depression,undefined
"If you had seen for yourself,",Client,depression,undefined
you could not doubt me this time... not this time.,Client,depression,undefined
"My son said he wanted me there to protect her,",Client,depression,undefined
but I felt quite the opposite.,Client,depression,undefined
I wished to smother her laughing.,Client,disgust,undefined
To...,Therapist,neutral,Communication Skills
Let me get this straight...,Therapist,neutral,Interpretation
To smother the sound of her laughter,Therapist,neutral,Interpretation
or to smother her?,Therapist,neutral,Interpretation
"They were laughing at me, Paul.",Client,disgust,undefined
"Yeah, I understand...",Therapist,neutral,Approval
"No, you don't understand. They were humiliating me.",Client,anger,undefined
"See, now look at your face. I have alarmed you now.",Client,disgust,undefined
"Yes actually, because the words that you're using are...",Therapist,neutral,Approval
I'm trying to share with you,Client,disgust,undefined
how their laughter disturbed me.,Client,disgust,undefined
"I'm trying to express myself, as you say.",Client,disgust,undefined
"You understand this, yes?",Client,disgust,undefined
"I think so, yes.",Therapist,neutral,Approval
Good. Because it only grew worse.,Client,disgust,undefined
At 1:00,Client,disgust,undefined
I heard talking in front of the building.,Client,disgust,undefined
My window faces the street.,Client,disgust,undefined
I saw Julia and Ethan barr.,Client,disgust,undefined
He escorted her up the steps,Client,disgust,undefined
and then... and then,Client,disgust,undefined
kissed her goodnight.,Client,disgust,undefined
What do you make of this?,Client,disgust,undefined
"Well, it depends what kind of a kiss it was.",Therapist,neutral,Interpretation
A kiss is a kiss.,Client,disgust,undefined
Don't you think I know what a kiss looks like?,Client,disgust,undefined
"Well, was it on the lips?",Therapist,neutral,Open question
"No no, it was on the cheek.",Client,disgust,undefined
"Well, that's not really an uncommon thing",Therapist,neutral,Interpretation
for people in America to do when they're saying goodbye.,Therapist,neutral,Interpretation
"I know, I know. You will think what you want to think.",Client,depression,undefined
"Anyway, after he kissed her,",Client,depression,undefined
Julia carefully lifted her hand,Client,depression,undefined
to a spot below his eye,Client,depression,undefined
and then gently drew the back of her curled fingers,Client,depression,undefined
down his cheek.,Client,depression,undefined
Julia never touches my son's face in this manner.,Client,depression,undefined
"How much proof do you need, Paul?",Client,depression,undefined
Last week I brought you solid evidence...,Client,depression,undefined
Her birth control pills... and you still want more.,Client,depression,undefined
Is this not enough?,Client,depression,undefined
Not necessarily.,Therapist,neutral,Interpretation
"It's not acceptable, Paul.",Client,anger,undefined
She is disgracing my family.,Client,anger,undefined
"After I witnessed the kiss,",Client,anger,undefined
I could not move from the window.,Client,anger,undefined
I could hear her,Client,anger,undefined
"down on the second floor, preparing her bed.",Client,anger,undefined
And I thought I heard her lock her bedroom door.,Client,anger,undefined
She did not even come upstairs,Client,anger,undefined
to check on Naya.,Client,anger,undefined
"And then I wanted to go to sleep,",Client,anger,undefined
but I could not stop myself thinking of Julia,Client,anger,undefined
"lying on her bed,",Client,anger,undefined
who she was thinking of.,Client,anger,undefined
I think it all would be better,Client,anger,undefined
if she ran off with Mr. pale fox,Client,anger,undefined
or she simply disappears.,Client,anger,undefined
Disappears? What do you...,Therapist,neutral,Restatement
What do you mean by that... disappears?,Therapist,neutral,Open question
I have to say that some of the words,Therapist,neutral,Interpretation
"that you've used today, Sunil...",Therapist,neutral,Interpretation
I really want to understand,Therapist,neutral,Interpretation
what it is that you are trying to say to me.,Therapist,neutral,Interpretation
If your feelings are as extreme,Therapist,neutral,Interpretation
as I'm hearing them today...,Therapist,neutral,Restatement
You asked me whether I had,Client,depression,undefined
more disturbing dreams.,Client,depression,undefined
You asked me whether I had,Client,depression,undefined
more disturbing dreams.,Client,depression,undefined
I have had one again.,Client,depression,undefined
The same one?,Therapist,neutral,Restatement
"No, a different one.",Client,disgust,undefined
It was quite troubling.,Client,disgust,undefined
Do you want to tell me about it?,Therapist,neutral,Open question
Yeah.,Client,neutral,undefined
Perhaps it will help you,Client,neutral,undefined
to make sense of my feelings.,Client,neutral,undefined
I hope so.,Therapist,neutral,Approval
I saw my son Arun,Client,neutral,undefined
lying on the street in front of the house.,Client,neutral,undefined
And he was unconscious.,Client,neutral,undefined
"The children were inside,",Client,neutral,undefined
looking out the window. They were afraid.,Client,neutral,undefined
Beyond the street there was a forest,Client,neutral,undefined
of thick black trees.,Client,neutral,undefined
And a woman with long dark hair,Client,neutral,undefined
came walking out of the forest.,Client,neutral,undefined
"She wore a long white gown,",Client,neutral,undefined
bright as the moon.,Client,neutral,undefined
And I was standing over my son.,Client,neutral,undefined
"And as the woman started walking towards the house,",Client,neutral,undefined
I was trying to hold my son's arm.,Client,neutral,undefined
And I pulled it,Client,neutral,undefined
and it broke cleanly off,Client,neutral,undefined
like a piece of old plaster.,Client,neutral,undefined
So I was thinking that I should use this arm,Client,neutral,undefined
to protect the children.,Client,neutral,undefined
To protect the children from this woman?,Therapist,neutral,Open question
"Now the arm was quite heavy, dense.",Client,neutral,undefined
I could hurt this woman very much.,Client,neutral,undefined
And...,Client,neutral,undefined
I woke up,Client,neutral,undefined
as I was about to strike her.,Client,neutral,undefined
So you were going to strike this woman,Therapist,neutral,Restatement
to protect your grandchildren?,Therapist,neutral,Restatement
I'm quite confused by this woman.,Client,depression,undefined
Who do you think she could be?,Client,depression,undefined
"Well, sometimes it's not so much",Therapist,neutral,Interpretation
the physical similarity as the feeling.,Therapist,neutral,Interpretation
Do you think it could be Julia?,Client,neutral,undefined
"No, she had dark hair.",Client,neutral,undefined
"It was dark, black as onyx.",Client,neutral,undefined
And Julia's hair is yellow.,Client,neutral,undefined
Perhaps it was Julia in disguise.,Client,neutral,undefined
Is that how you see Julia... in disguise?,Therapist,neutral,Restatement
Do you see her as a threat?,Therapist,neutral,Open question
She has a secret life.,Client,neutral,undefined
The woman was most definitely not Kamala.,Client,neutral,undefined
What makes you so sure of that?,Therapist,neutral,Open question
Because I would never think of harming my wife.,Client,neutral,undefined
Do you feel that you could harm Julia?,Therapist,neutral,Open question
The thing I found strange was,Client,depression,undefined
that I could not make out the details of the woman's face,Client,depression,undefined
even when she drew very close.,Client,depression,undefined
"You know, I started to grip my son's arm with great force.",Client,depression,undefined
I could feel the blood pulsing into my hands.,Client,depression,undefined
And she was so close,Client,depression,undefined
"that I could almost smell the flower she wore in her hair,",Client,depression,undefined
but I could not see her face.,Client,depression,undefined
The flower in her hair like in the El Greco painting?,Therapist,neutral,Open question
Sorry?,Client,depression,undefined
That's the painting you mentioned,Therapist,neutral,Interpretation
when you first spoke of Malini.,Therapist,neutral,Interpretation
What do you mean?,Client,depression,undefined
"Well, you've just spoken about her death",Therapist,neutral,Interpretation
after 32 years of silence.,Therapist,neutral,Interpretation
It's not surprising that some form of her...,Therapist,neutral,Interpretation
even the slightest gesture or detail...,Therapist,neutral,Interpretation
might show up in your dream.,Therapist,neutral,Interpretation
Like a rabbit in a hat?,Client,disgust,undefined
"Bong! Oh, there she is.",Client,disgust,undefined
You said that you felt you had this need,Therapist,neutral,Restatement
to protect your grandchildren.,Therapist,neutral,Restatement
You said you felt the blood rushing into your hands,Therapist,neutral,Restatement
and that you were prepared,Therapist,neutral,Restatement
to harm this woman.,Therapist,neutral,Restatement
"See, Paul, I no longer wish to discuss this dream.",Client,disgust,undefined
Okay.,Therapist,neutral,Communication Skills
Can I ask you why?,Therapist,neutral,Open question
Because I cannot see the point of this exercise.,Client,disgust,undefined
But I'm confused.A moment ago you asked me,Therapist,neutral,Self-disclosure
"to help you understand these nightmares that you're having,",Therapist,neutral,Self-disclosure
to help you make sense of the feelings that you're having.,Therapist,neutral,Self-disclosure
So that's what I'd like to do.,Therapist,neutral,Self-disclosure
"For instance, this woman coming from the forest...",Therapist,neutral,Interpretation
It's clear that she has a big effect on you.,Therapist,neutral,Interpretation
Do you... you disagree with that?,Therapist,neutral,Open question
"See, the image of you removing your son's arm...",Therapist,neutral,Interpretation
"Well, sometimes there's something primal",Therapist,neutral,Interpretation
or animalistic,Therapist,neutral,Interpretation
<i>that dreams allow us to express,Therapist,neutral,Interpretation
that our conscious mind is...,Therapist,neutral,Interpretation
( shouting in bengali ),Client,anger,undefined
A man can only be pushed so far.,Client,anger,undefined
I have decided it was not Malini in my dream.,Client,anger,undefined
And it upsets me very much for you to suggest this.,Client,anger,undefined
I... I...,Client,anger,undefined
I would never ever think of harming Malini.,Client,anger,undefined
Why would you think I would assume you'd hurt Malini?,Therapist,neutral,Guiding the Pace and Depth of the Conversation
"Okay, we don't have to talk about that now.",Therapist,neutral,Guiding the Pace and Depth of the Conversation
( Speaks bengali ),Client,anger,undefined
I don't understand what you're saying.,Therapist,neutral,Self-disclosure
You have no idea what my life has been.,Client,anger,undefined
But I want to understand. I want to know.,Therapist,neutral,Self-disclosure
Can I ask you what you did,Therapist,neutral,Open question
when you woke up from the dream?,Therapist,neutral,Open question
I checked on the children.,Client,neutral,undefined
"They were fine, sleeping.",Client,neutral,undefined
I then went down to Julia's room.,Client,neutral,undefined
I could not resist. I wanted to check,Client,neutral,undefined
to see if her door was in fact locked.,Client,neutral,undefined
And?,Therapist,neutral,Open question
It was.,Client,neutral,undefined
What would you have done if her door wasn't locked?,Therapist,neutral,Open question
"Her door would not open, and this is all that matters.",Client,neutral,undefined
"No, but I'm asking you, what would you have done",Therapist,neutral,Restatement
if the door had been open?,Therapist,neutral,Restatement
I thought of calling you.,Client,neutral,undefined
Why didn't you?,Therapist,neutral,Open question
It was the middle of the night.,Client,neutral,undefined
And things felt,Client,neutral,undefined
out of balance.,Client,neutral,undefined
Then I went upstairs to my room,Client,neutral,undefined
and I wrote to Kamala.,Client,neutral,undefined
Can I ask you what you wrote?,Therapist,neutral,Open question
I really did consider calling you.,Client,neutral,undefined
The next time I want you to do that.,Therapist,neutral,Advisement
Okay?,Therapist,neutral,Communication Skills
"Yeah, perhaps.",Client,neutral,undefined
"Sunil, there's so much going on",Therapist,neutral,Interpretation
in your life at the moment:,Therapist,neutral,Interpretation
You've lost your wife.,Therapist,neutral,Interpretation
You've started to talk about a love affair,Therapist,neutral,Restatement
that ended in tragedy.,Therapist,neutral,Restatement
You're worried about your son.,Therapist,neutral,Restatement
You're worried about your grandchildren.,Therapist,neutral,Restatement
You have these conflicted ideas,Therapist,neutral,Restatement
about your daughter-in-law.,Therapist,neutral,Restatement
You're anxious about the floods,Therapist,neutral,Restatement
in your homeland... in India.,Therapist,neutral,Restatement
"I'm concerned about you, Sunil...",Therapist,neutral,Restatement
that with all of these intense feelings,Therapist,neutral,Interpretation
coming to the surface,Therapist,neutral,Interpretation
I understand how difficult it could be,Therapist,neutral,Approval
for you to stay in control.,Therapist,neutral,Approval
And I... I want to suggest,Therapist,neutral,Advisement
that you consider coming here,Therapist,neutral,Advisement
"a little more often, maybe twice a week.",Therapist,neutral,Advisement
You think I'm going crazy?,Client,depression,undefined
"No no no no, you're not... you're not crazy,",Therapist,neutral,Approval
I assure you.,Therapist,neutral,Approval
"I have patients who come to see me two-three times a week,",Therapist,neutral,Restatement
but it doesn't mean they're crazy.,Therapist,neutral,Interpretation
It's just that they can benefit,Therapist,neutral,Interpretation
"from working more on themselves,",Therapist,neutral,Interpretation
going deeper with therapy.,Therapist,neutral,Interpretation
Julia and Arun...,Client,depression,undefined
they have done enough for me.,Client,depression,undefined
And I would prefer,Client,depression,undefined
not to ask anything more than this.,Client,depression,undefined
"Well, would you like me to talk to them for you?",Therapist,neutral,Open question
"No no, please. I would not prefer that.",Client,depression,undefined
"Do you pray, Paul?",Client,neutral,undefined
Do I... do I pray?,Therapist,neutral,Restatement
Yes.,Client,neutral,undefined
"Sometimes, yes.",Therapist,neutral,Communication Skills
Then please pray.,Client,neutral,undefined
For what?,Therapist,neutral,Communication Skills
For the rains to stop in India.,Client,neutral,undefined
Is this normal?,Client,neutral,undefined
What?,Therapist,neutral,Open question
"For it to be so hard to get started,",Client,neutral,undefined
"you know, to sit here for so long and not say anything?",Client,neutral,undefined
"It's actually only been a minute or two,",Therapist,neutral,Restatement
"but yeah, it's quite common.",Therapist,neutral,Approval
"If I didn't say anything for the whole hour,",Client,neutral,undefined
would you say something eventually,Client,neutral,undefined
or would you just sit there?,Client,neutral,undefined
45 minutes later...,Client,neutral,undefined
It's time. We'll pick up here next week.,Client,neutral,undefined
"Eventually I would say something, yeah,",Therapist,neutral,Interpretation
